"market","team","event","dk_odds","dk_prob","sim_prob","edge","ev","payout","dk_prob_pct","sim_prob_pct","edge_pct","ev_pct"
"To Qualify From Group","South Africa","World Cup 2026 – Group A","+150",0.4,0.197,-0.203,-0.5075,1.5,40,19.7,-20.3,-50.8
"To Qualify From Group","Switzerland","World Cup 2026 – Group B","−1800",0.952380952380952,0.992,0.0396190476190477,0.0416,0.05,95.2,99.2,4,4.2
"To Qualify From Group","Canada","World Cup 2026 – Group B","−500",0.833333333333333,0.952,0.118666666666667,0.1424,0.2,83.3,95.2,11.9,14.2
"To Qualify From Group","Bosnia and Herzegovina","World Cup 2026 – Group B","−475",0.826446280991736,0.595,-0.231446280991736,-0.28005,0.21,82.6,59.5,-23.1,-28
"To Qualify From Group","Qatar","World Cup 2026 – Group B","+300",0.25,0.113,-0.137,-0.548,3,25,11.3,-13.7,-54.8
"To Qualify From Group","United States","World Cup 2026 – Group D","−575",0.854700854700855,0.45,-0.404700854700855,-0.4735,0.17,85.5,45,-40.5,-47.4
"To Qualify From Group","Turkey","World Cup 2026 – Group D","−500",0.833333333333333,0.891,0.0576666666666665,0.0691999999999998,0.2,83.3,89.1,5.8,6.9
"To Qualify From Group","Paraguay","World Cup 2026 – Group D","−185",0.649350649350649,0.775,0.125649350649351,0.1935,0.54,64.9,77.5,12.6,19.4
"To Qualify From Group","Australia","World Cup 2026 – Group D","+100",0.5,0.64,0.14,0.28,1,50,64,14,28
"To Qualify From Group","Brazil","World Cup 2026 – Group C","−10000",0.99009900990099,0.989,-0.00109900990098999,-0.00110999999999989,0.01,99,98.9,-0.1,-0.1
"To Qualify From Group","Morocco","World Cup 2026 – Group C","−1000",0.909090909090909,0.877,-0.0320909090909091,-0.0352999999999999,0.1,90.9,87.7,-3.2,-3.5
"To Qualify From Group","Scotland","World Cup 2026 – Group C","−230",0.699300699300699,0.777,0.0776993006993006,0.11111,0.43,69.9,77.7,7.8,11.1
"To Qualify From Group","Haiti","World Cup 2026 – Group C","+700",0.125,0.105,-0.02,-0.16,7,12.5,10.5,-2,-16
"To Qualify From Group","Germany","World Cup 2026 – Group E","−10000",0.99009900990099,0.987,-0.0030990099009901,-0.00313,0.01,99,98.7,-0.3,-0.3
"To Qualify From Group","Ecuador","World Cup 2026 – Group E","−900",0.900900900900901,0.991,0.0900990990990992,0.10001,0.11,90.1,99.1,9,10
"To Qualify From Group","Ivory Coast","World Cup 2026 – Group E","−370",0.78740157480315,0.661,-0.12640157480315,-0.16053,0.27,78.7,66.1,-12.6,-16.1
"To Qualify From Group","Curaçao","World Cup 2026 – Group E","+800",0.111111111111111,0.048,-0.0631111111111111,-0.568,8,11.1,4.8,-6.3,-56.8
"To Qualify From Group","Netherlands","World Cup 2026 – Group F","−1400",0.934579439252336,0.969,0.0344205607476636,0.0368300000000002,0.0700000000000001,93.5,96.9,3.4,3.7
"To Qualify From Group","Japan","World Cup 2026 – Group F","−340",0.775193798449612,0.927,0.151806201550388,0.19583,0.29,77.5,92.7,15.2,19.6
"To Qualify From Group","Sweden","World Cup 2026 – Group F","−250",0.714285714285714,0.521,-0.193285714285714,-0.2706,0.4,71.4,52.1,-19.3,-27.1
"To Qualify From Group","Tunisia","World Cup 2026 – Group F","+120",0.454545454545455,0.26,-0.194545454545455,-0.428,1.2,45.5,26,-19.5,-42.8
"To Qualify From Group","Spain","World Cup 2026 – Group H","−10000",0.99009900990099,1,0.00990099009900991,0.01,0.01,99,100,1,1
"To Qualify From Group","Uruguay","World Cup 2026 – Group H","−800",0.892857142857143,0.961,0.0681428571428572,0.0763200000000001,0.12,89.3,96.1,6.8,7.6
"To Qualify From Group","Saudi Arabia","World Cup 2026 – Group H","+120",0.454545454545455,0.206,-0.248545454545455,-0.5468,1.2,45.5,20.6,-24.9,-54.7
"To Qualify From Group","Cape Verde","World Cup 2026 – Group H","+225",0.307692307692308,0.165,-0.142692307692308,-0.46375,2.25,30.8,16.5,-14.3,-46.4
"To Qualify From Group","Belgium","World Cup 2026 – Group G","−2000",0.952380952380952,0.951,-0.00138095238095237,-0.00145000000000001,0.05,95.2,95.1,-0.1,-0.1
"To Qualify From Group","Egypt","World Cup 2026 – Group G","−310",0.757575757575758,0.643,-0.114575757575758,-0.15124,0.32,75.8,64.3,-11.5,-15.1
"To Qualify From Group","Iran","World Cup 2026 – Group G","−230",0.699300699300699,0.82,0.120699300699301,0.1726,0.43,69.9,82,12.1,17.3
"To Qualify From Group","New Zealand","World Cup 2026 – Group G","+175",0.363636363636364,0.316,-0.0476363636363636,-0.131,1.75,36.4,31.6,-4.8,-13.1
"To Qualify From Group","France","World Cup 2026 – Group I","−5000",0.980392156862745,0.992,0.0116078431372549,0.01184,0.02,98,99.2,1.2,1.2
"To Qualify From Group","Norway","World Cup 2026 – Group I","−575",0.854700854700855,0.872,0.0172991452991452,0.0202399999999999,0.17,85.5,87.2,1.7,2
"To Qualify From Group","Senegal","World Cup 2026 – Group I","−200",0.666666666666667,0.818,0.151333333333333,0.227,0.5,66.7,81.8,15.1,22.7
"To Qualify From Group","Iraq","World Cup 2026 – Group I","+350",0.222222222222222,0.081,-0.141222222222222,-0.6355,3.5,22.2,8.1,-14.1,-63.5
"To Qualify From Group","Argentina","World Cup 2026 – Group J","−10000",0.99009900990099,0.995,0.00490099009900991,0.00495,0.01,99,99.5,0.5,0.5
"To Qualify From Group","Austria","World Cup 2026 – Group J","−340",0.775193798449612,0.741,-0.0341937984496123,-0.04411,0.29,77.5,74.1,-3.4,-4.4
"To Qualify From Group","Algeria","World Cup 2026 – Group J","−250",0.714285714285714,0.497,-0.217285714285714,-0.3042,0.4,71.4,49.7,-21.7,-30.4
"To Qualify From Group","Jordan","World Cup 2026 – Group J","+275",0.266666666666667,0.344,0.0773333333333333,0.29,2.75,26.7,34.4,7.7,29
"To Qualify From Group","England","World Cup 2026 – Group L","−10000",0.99009900990099,0.992,0.0019009900990099,0.00192,0.01,99,99.2,0.2,0.2
"To Qualify From Group","Croatia","World Cup 2026 – Group L","−475",0.826446280991736,0.97,0.143553719008264,0.1737,0.21,82.6,97,14.4,17.4
"To Qualify From Group","Ghana","World Cup 2026 – Group L","−155",0.609756097560976,0.056,-0.553756097560976,-0.90816,0.64,61,5.6,-55.4,-90.8
"To Qualify From Group","Panama","World Cup 2026 – Group L","+220",0.3125,0.661,0.3485,1.1152,2.2,31.2,66.1,34.8,111.5
"To Qualify From Group","Portugal","World Cup 2026 – Group K","−5000",0.980392156862745,0.968,-0.0123921568627451,-0.01264,0.02,98,96.8,-1.2,-1.3
"To Qualify From Group","Colombia","World Cup 2026 – Group K","−800",0.892857142857143,0.963,0.0701428571428572,0.0785600000000001,0.12,89.3,96.3,7,7.9
"To Qualify From Group","DR Congo","World Cup 2026 – Group K","−155",0.609756097560976,0.237,-0.372756097560976,-0.61132,0.64,61,23.7,-37.3,-61.1
